host, Images,JavaScript,CSS,XML,Fonts,Media,Other
google.com,37,16,0,4,8,0,0
yahoo.com,194,584,0,44,4,0,6
bing.com,116,76,0,72,0,0,0
twitter.com,8,28,12,4,4,0,6
facebook.com,474,1056,248,678,0,0,4
instagram.com,164,10,0,20,0,0,4
amazon.com,728,32,0,120,8,0,0
etsy.com,159,84,6,48,16,0,2
ebay.com,245,88,0,20,0,0,4
netflix.com,540,17,10,44,8,8,0
twitch.tv,290,116,20,504,0,0,104
youtube.com,355,80,12,224,0,0,4
cnn.com,405,389,4,140,12,4,4
msnbc.com,212,227,24,111,23,0,4
foxnews.com,475,404,6,99,12,0,4
